name,value,units,def_num,raw_value
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,12.0924,km/h,73,3.359
speed,12.0924,km/h,6,3359
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,731.334228515625,c/hr,1,731.334228515625
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.9024144411087036,runEco,9,1.9024144411087036
frnrRE,151.08343505859375,runEco,10,151.08343505859375
timestamp,2022-05-04T13:47:32+00:00,,253,1020606452
position_lat,38.79366765730083,deg,0,462826483
position_long,-77.04601298086345,deg,1,-919194739
distance,0.32239999999999996,km,5,32240
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,12.027600000000001,km/h,73,3.341
speed,12.027600000000001,km/h,6,3341
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,731.334228515625,c/hr,1,731.334228515625
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8971006870269775,runEco,9,1.8971006870269775
frnrRE,151.04136657714844,runEco,10,151.04136657714844
timestamp,2022-05-04T13:47:33+00:00,,253,1020606453
position_lat,38.79364368505776,deg,0,462826197
position_long,-77.0460228715092,deg,1,-919194857
distance,0.3252,km,5,32520
enhanced_altitude,-6.800000000000011,m,78,-6.800000000000011
altitude,-6.800000000000011,m,2,2466
enhanced_speed,11.9916,km/h,73,3.331
speed,11.9916,km/h,6,3331
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,731.334228515625,c/hr,1,731.334228515625
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8971006870269775,runEco,9,1.8971006870269775
frnrRE,150.79428100585938,runEco,10,150.79428100585938
timestamp,2022-05-04T13:47:34+00:00,,253,1020606454
position_lat,38.7936208024621,deg,0,462825924
position_long,-77.04603184014559,deg,1,-919194964
distance,0.32783999999999996,km,5,32784
enhanced_altitude,-7.0,m,78,-7.0
altitude,-7.0,m,2,2465
enhanced_speed,11.9916,km/h,73,3.331
speed,11.9916,km/h,6,3331
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,135,bpm,3,135
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.61083984375,c/hr,1,768.61083984375
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8716182708740234,runEco,9,1.8716182708740234
frnrRE,148.69158935546875,runEco,10,148.69158935546875
timestamp,2022-05-04T13:47:35+00:00,,253,1020606455
position_lat,38.79359666258097,deg,0,462825636
position_long,-77.04604214988649,deg,1,-919195087
distance,0.33067,km,5,33067
enhanced_altitude,-7.0,m,78,-7.0
altitude,-7.0,m,2,2465
enhanced_speed,11.9232,km/h,73,3.312
speed,11.9232,km/h,6,3312
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,135,bpm,3,135
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.61083984375,c/hr,1,768.61083984375
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8663462400436401,runEco,9,1.8663462400436401
frnrRE,148.51171875,runEco,10,148.51171875
timestamp,2022-05-04T13:47:36+00:00,,253,1020606456
position_lat,38.79357419908047,deg,0,462825368
position_long,-77.04605438746512,deg,1,-919195233
distance,0.33338,km,5,33338
enhanced_altitude,-7.0,m,78,-7.0
altitude,-7.0,m,2,2465
enhanced_speed,11.8908,km/h,73,3.303
speed,11.8908,km/h,6,3303
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.61083984375,c/hr,1,768.61083984375
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8610740900039673,runEco,9,1.8610740900039673
frnrRE,148.26583862304688,runEco,10,148.26583862304688
timestamp,2022-05-04T13:47:37+00:00,,253,1020606457
position_lat,38.793554501608014,deg,0,462825133
position_long,-77.04606654122472,deg,1,-919195378
distance,0.33581,km,5,33581
enhanced_altitude,-7.0,m,78,-7.0
altitude,-7.0,m,2,2465
enhanced_speed,11.8584,km/h,73,3.294
speed,11.8584,km/h,6,3294
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.61083984375,c/hr,1,768.61083984375
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8558019399642944,runEco,9,1.8558019399642944
frnrRE,148.1069793701172,runEco,10,148.1069793701172
timestamp,2022-05-04T13:47:38+00:00,,253,1020606458
position_lat,38.79353488795459,deg,0,462824899
position_long,-77.04607911407948,deg,1,-919195528
distance,0.33825,km,5,33825
enhanced_altitude,-6.800000000000011,m,78,-6.800000000000011
altitude,-6.800000000000011,m,2,2466
enhanced_speed,11.8224,km/h,73,3.284
speed,11.8224,km/h,6,3284
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.61083984375,c/hr,1,768.61083984375
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.850529670715332,runEco,9,1.850529670715332
frnrRE,147.8978729248047,runEco,10,147.8978729248047
timestamp,2022-05-04T13:47:39+00:00,,253,1020606459
position_lat,38.79351527430117,deg,0,462824665
position_long,-77.04608774743974,deg,1,-919195631
distance,0.34056000000000003,km,5,34056
enhanced_altitude,-6.800000000000011,m,78,-6.800000000000011
altitude,-6.800000000000011,m,2,2466
enhanced_speed,11.79,km/h,73,3.275
speed,11.79,km/h,6,3275
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.2858276367188,c/hr,1,768.2858276367188
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.850529670715332,runEco,9,1.850529670715332
frnrRE,147.5724639892578,runEco,10,147.5724639892578
timestamp,2022-05-04T13:47:40+00:00,,253,1020606460
position_lat,38.7934981752187,deg,0,462824461
position_long,-77.04609336331487,deg,1,-919195698
distance,0.34382999999999997,km,5,34383
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.79,km/h,73,3.275
speed,11.79,km/h,6,3275
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.2858276367188,c/hr,1,768.2858276367188
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8452575206756592,runEco,9,1.8452575206756592
frnrRE,147.25552368164062,runEco,10,147.25552368164062
timestamp,2022-05-04T13:47:41+00:00,,253,1020606461
position_lat,38.79348199814558,deg,0,462824268
position_long,-77.04609705135226,deg,1,-919195742
distance,0.3471,km,5,34710
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.2858276367188,c/hr,1,768.2858276367188
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8452575206756592,runEco,9,1.8452575206756592
frnrRE,146.88893127441406,runEco,10,146.88893127441406
timestamp,2022-05-04T13:47:42+00:00,,253,1020606462
position_lat,38.79346146248281,deg,0,462824023
position_long,-77.0461021643132,deg,1,-919195803
distance,0.35037,km,5,35037
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.2858276367188,c/hr,1,768.2858276367188
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8452575206756592,runEco,9,1.8452575206756592
frnrRE,146.94285583496094,runEco,10,146.94285583496094
timestamp,2022-05-04T13:47:43+00:00,,253,1020606463
position_lat,38.793440759181976,deg,0,462823776
position_long,-77.04611180350184,deg,1,-919195918
distance,0.35363,km,5,35363
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,768.2858276367188,c/hr,1,768.2858276367188
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8452575206756592,runEco,9,1.8452575206756592
frnrRE,146.99053955078125,runEco,10,146.99053955078125
timestamp,2022-05-04T13:47:44+00:00,,253,1020606464
position_lat,38.7934241630137,deg,0,462823578
position_long,-77.04612060450017,deg,1,-919196023
distance,0.35689,km,5,35689
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,783.3755493164062,c/hr,1,783.3755493164062
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8452575206756592,runEco,9,1.8452575206756592
frnrRE,147.03738403320312,runEco,10,147.03738403320312
timestamp,2022-05-04T13:47:45+00:00,,253,1020606465
position_lat,38.79340915940702,deg,0,462823399
position_long,-77.04612898640335,deg,1,-919196123
distance,0.36016000000000004,km,5,36016
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,138,bpm,3,138
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,783.3755493164062,c/hr,1,783.3755493164062
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8308414220809937,runEco,9,1.8308414220809937
frnrRE,145.2674560546875,runEco,10,145.2674560546875
timestamp,2022-05-04T13:47:46+00:00,,253,1020606466
position_lat,38.79343866370618,deg,0,462823751
position_long,-77.04613158479333,deg,1,-919196154
distance,0.36343000000000003,km,5,36343
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.7576,km/h,73,3.266
speed,11.7576,km/h,6,3266
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,783.3755493164062,c/hr,1,783.3755493164062
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.31077575683594,runEco,10,145.31077575683594
timestamp,2022-05-04T13:47:47+00:00,,253,1020606467
position_lat,38.79339935258031,deg,0,462823282
position_long,-77.04620140604675,deg,1,-919196987
distance,0.36668,km,5,36668
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,24,C,13,24
fractional_cadence,0.0,rpm,53,0
eE,783.3755493164062,c/hr,1,783.3755493164062
rE,137.8478240966797,runEco,2,137.8478240966797
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.35589599609375,runEco,10,145.35589599609375
timestamp,2022-05-04T13:47:48+00:00,,253,1020606468
position_lat,38.79338870756328,deg,0,462823155
position_long,-77.04622554592788,deg,1,-919197275
distance,0.36994,km,5,36994
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,135,bpm,3,135
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,783.3755493164062,c/hr,1,783.3755493164062
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.397705078125,runEco,10,145.397705078125
timestamp,2022-05-04T13:47:49+00:00,,253,1020606469
position_lat,38.79337982274592,deg,0,462823049
position_long,-77.04623342491686,deg,1,-919197369
distance,0.37319,km,5,37319
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,135,bpm,3,135
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,767.5286865234375,c/hr,1,767.5286865234375
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.43759155273438,runEco,10,145.43759155273438
timestamp,2022-05-04T13:47:50+00:00,,253,1020606470
position_lat,38.79334813915193,deg,0,462822671
position_long,-77.04627424478531,deg,1,-919197856
distance,0.37645,km,5,37645
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,300,,88,300
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,767.5286865234375,c/hr,1,767.5286865234375
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.47560119628906,runEco,10,145.47560119628906
timestamp,2022-05-04T13:47:51+00:00,,253,1020606471
position_lat,38.79333338700235,deg,0,462822495
position_long,-77.04628882929683,deg,1,-919198030
distance,0.37847000000000003,km,5,37847
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,300,,88,300
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,767.5286865234375,c/hr,1,767.5286865234375
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.51287841796875,runEco,10,145.51287841796875
timestamp,2022-05-04T13:47:52+00:00,,253,1020606472
position_lat,38.79331863485277,deg,0,462822319
position_long,-77.04629612155259,deg,1,-919198117
distance,0.38009,km,5,38009
enhanced_altitude,-6.199999999999989,m,78,-6.199999999999989
altitude,-6.199999999999989,m,2,2469
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,300,,88,300
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,767.5286865234375,c/hr,1,767.5286865234375
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8256105184555054,runEco,9,1.8256105184555054
frnrRE,145.54835510253906,runEco,10,145.54835510253906
timestamp,2022-05-04T13:47:53+00:00,,253,1020606473
position_lat,38.79330639727414,deg,0,462822173
position_long,-77.04630500636995,deg,1,-919198223
distance,0.38165,km,5,38165
enhanced_altitude,-6.199999999999989,m,78,-6.199999999999989
altitude,-6.199999999999989,m,2,2469
enhanced_speed,11.721599999999999,km/h,73,3.256
speed,11.721599999999999,km/h,6,3256
unknown_87,,,87,
unknown_88,300,,88,300
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,767.5286865234375,c/hr,1,767.5286865234375
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.820379614830017,runEco,9,1.820379614830017
frnrRE,145.11036682128906,runEco,10,145.11036682128906
timestamp,2022-05-04T13:47:54+00:00,,253,1020606474
position_lat,38.793288795277476,deg,0,462821963
position_long,-77.04631380736828,deg,1,-919198328
distance,0.38372,km,5,38372
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.6892,km/h,73,3.247
speed,11.6892,km/h,6,3247
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,138,bpm,3,138
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,782.6641845703125,c/hr,1,782.6641845703125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.8046865463256836,runEco,9,1.8046865463256836
frnrRE,144.52755737304688,runEco,10,144.52755737304688
timestamp,2022-05-04T13:47:55+00:00,,253,1020606475
position_lat,38.79327152855694,deg,0,462821757
position_long,-77.0463244523853,deg,1,-919198455
distance,0.38585,km,5,38585
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.5884,km/h,73,3.219
speed,11.5884,km/h,6,3219
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,138,bpm,3,138
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,782.6641845703125,c/hr,1,782.6641845703125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.794224739074707,runEco,9,1.794224739074707
frnrRE,143.93045043945312,runEco,10,143.93045043945312
timestamp,2022-05-04T13:47:56+00:00,,253,1020606476
position_lat,38.79325862042606,deg,0,462821603
position_long,-77.046326296404,deg,1,-919198477
distance,0.38722,km,5,38722
enhanced_altitude,-6.800000000000011,m,78,-6.800000000000011
altitude,-6.800000000000011,m,2,2466
enhanced_speed,11.520000000000001,km/h,73,3.2
speed,11.520000000000001,km/h,6,3200
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,782.6641845703125,c/hr,1,782.6641845703125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.778531789779663,runEco,9,1.778531789779663
frnrRE,143.5362091064453,runEco,10,143.5362091064453
timestamp,2022-05-04T13:47:57+00:00,,253,1020606477
position_lat,38.793233474716544,deg,0,462821303
position_long,-77.04634079709649,deg,1,-919198650
distance,0.39027,km,5,39027
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.4192,km/h,73,3.172
speed,11.4192,km/h,6,3172
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,91,rpm,4,91
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,782.6641845703125,c/hr,1,782.6641845703125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.768069863319397,runEco,9,1.768069863319397
frnrRE,143.16940307617188,runEco,10,143.16940307617188
timestamp,2022-05-04T13:47:58+00:00,,253,1020606478
position_lat,38.79321604035795,deg,0,462821095
position_long,-77.04633635468781,deg,1,-919198597
distance,0.39133999999999997,km,5,39134
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.3544,km/h,73,3.154
speed,11.3544,km/h,6,3154
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,782.6641845703125,c/hr,1,782.6641845703125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.752376914024353,runEco,9,1.752376914024353
frnrRE,142.52871704101562,runEco,10,142.52871704101562
timestamp,2022-05-04T13:47:59+00:00,,253,1020606479
position_lat,38.79315669648349,deg,0,462820387
position_long,-77.04621984623373,deg,1,-919197207
distance,0.39133999999999997,km,5,39134
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.2536,km/h,73,3.126
speed,11.2536,km/h,6,3126
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,766.739501953125,c/hr,1,766.739501953125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.7128404378890991,runEco,9,1.7128404378890991
frnrRE,140.77371215820312,runEco,10,140.77371215820312
timestamp,2022-05-04T13:48:00+00:00,,253,1020606480
position_lat,38.79311889410019,deg,0,462819936
position_long,-77.04622076824307,deg,1,-919197218
distance,0.39498,km,5,39498
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.0844,km/h,73,3.079
speed,11.0844,km/h,6,3079
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,766.739501953125,c/hr,1,766.739501953125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.629793643951416,runEco,9,1.629793643951416
frnrRE,140.04856872558594,runEco,10,140.04856872558594
timestamp,2022-05-04T13:48:01+00:00,,253,1020606481
position_lat,38.79305745474994,deg,0,462819203
position_long,-77.04624532721937,deg,1,-919197511
distance,0.4015,km,5,40150
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,10.548,km/h,73,2.93
speed,10.548,km/h,6,2930
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,138,bpm,3,138
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,766.739501953125,c/hr,1,766.739501953125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.6038415431976318,runEco,9,1.6038415431976318
frnrRE,138.95591735839844,runEco,10,138.95591735839844
timestamp,2022-05-04T13:48:02+00:00,,253,1020606482
position_lat,38.79302912391722,deg,0,462818865
position_long,-77.04627223312855,deg,1,-919197832
distance,0.40506,km,5,40506
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,10.3788,km/h,73,2.883
speed,10.3788,km/h,6,2883
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,766.739501953125,c/hr,1,766.739501953125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.6038415431976318,runEco,9,1.6038415431976318
frnrRE,139.16049194335938,runEco,10,139.16049194335938
timestamp,2022-05-04T13:48:03+00:00,,253,1020606483
position_lat,38.793006325140595,deg,0,462818593
position_long,-77.04630173742771,deg,1,-919198184
distance,0.40832999999999997,km,5,40833
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,10.3788,km/h,73,2.883
speed,10.3788,km/h,6,2883
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,766.739501953125,c/hr,1,766.739501953125
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.4740809202194214,runEco,9,1.4740809202194214
frnrRE,140.3697967529297,runEco,10,140.3697967529297
timestamp,2022-05-04T13:48:04+00:00,,253,1020606484
position_lat,38.792998949065804,deg,0,462818505
position_long,-77.04633291810751,deg,1,-919198556
distance,0.41108999999999996,km,5,41109
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,10.3788,km/h,73,2.883
speed,10.3788,km/h,6,2883
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,781.99951171875,c/hr,1,781.99951171875
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.707649827003479,runEco,9,1.707649827003479
frnrRE,140.53372192382812,runEco,10,140.53372192382812
timestamp,2022-05-04T13:48:05+00:00,,253,1020606485
position_lat,38.79299274645746,deg,0,462818431
position_long,-77.04636887647212,deg,1,-919198985
distance,0.41418,km,5,41418
enhanced_altitude,-6.600000000000023,m,78,-6.600000000000023
altitude,-6.600000000000023,m,2,2467
enhanced_speed,11.052,km/h,73,3.07
speed,11.052,km/h,6,3070
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,136,bpm,3,136
cadence,90,rpm,4,90
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,781.99951171875,c/hr,1,781.99951171875
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.7595542669296265,runEco,9,1.7595542669296265
frnrRE,140.59535217285156,runEco,10,140.59535217285156
timestamp,2022-05-04T13:48:06+00:00,,253,1020606486
position_lat,38.79299584776163,deg,0,462818468
position_long,-77.04641229473054,deg,1,-919199503
distance,0.41796,km,5,41796
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.2536,km/h,73,3.126
speed,11.2536,km/h,6,3126
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,137,bpm,3,137
cadence,91,rpm,4,91
temperature,23,C,13,23
fractional_cadence,0.0,rpm,53,0
eE,781.99951171875,c/hr,1,781.99951171875
rE,114.13998413085938,runEco,2,114.13998413085938
pwr,,w,5,
tpRE,1.7595542669296265,runEco,9,1.7595542669296265
frnrRE,140.4817657470703,runEco,10,140.4817657470703
timestamp,2022-05-04T13:48:07+00:00,,253,1020606487
position_lat,38.792999032884836,deg,0,462818506
position_long,-77.04645621590316,deg,1,-919200027
distance,0.42178,km,5,42178
enhanced_altitude,-6.399999999999977,m,78,-6.399999999999977
altitude,-6.399999999999977,m,2,2468
enhanced_speed,11.2536,km/h,73,3.126
speed,11.2536,km/h,6,3126
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,138,bpm,3,138
